id,area_id,name,google_search_keyword,google_place_id,address,latitude,longitude,tel,web,twitter,facebook,tabelog,can_auto_update,is_closed
1,4,日本酒とお食事 はちどり,はちどり 大阪,ChIJZag6FzThAGARmkN2U5ttAnk,大阪市都島区都島北通1-20-2,34.711398,135.529265,06-6929-8107,,,https://ja-jp.facebook.com/hachidori0525/,https://tabelog.com/osaka/A2701/A270304/27085709/,1,0
2,4,洋風小皿食堂TAPA,TAPA 大阪,,大阪市都島区善源寺町2-3-28,34.710859,135.527135,06-6924-5328,,,https://ja-jp.facebook.com/YangFengXiaoMinShiTangtapa/,https://tabelog.com/osaka/A2701/A270304/27057596/,1,1
3,4,立喰酒場 舫,,ChIJAQDZlzThAGARgicJGH5pA9c,大阪市都島区善源寺1-5-48 2F,34.709739,135.526304,06-7182-6387,,,https://ja-jp.facebook.com/tachiguisakabaMOYAI/,https://tabelog.com/osaka/A2701/A270304/27086803/,1,0
4,4,和風バール『鳥羽屋』,,ChIJZ4k2fjPhAGARjJlWVgtBnGk,大阪市都島区都島北通1-10-21,34.709509,135.527452,06-7161-2598,,,https://ja-jp.facebook.com/tobaya.miyakojima/,https://tabelog.com/osaka/A2701/A270304/27105665/,1,0
5,4,紀の国屋くっす～,,ChIJjTfkbjPhAGARKMcNWApKfPw,大阪市都島区都島本通3-22-17,34.708523,135.526774,06-6922-1776,,,,https://tabelog.com/osaka/A2701/A270304/27071238/,1,0
6,4,ラ・マンミーナ,,ChIJ5y0HcjPhAGARly-YzLxCK14,大阪市都島区都島本通3-23-6,34.708512,135.526974,06-6922-1059,,,,https://tabelog.com/osaka/A2701/A270304/27004088/,1,0
7,4,鮪魂 一将丸,一将丸,ChIJ-V8yQirhAGARTZRoTjbRg1w,大阪市都島区東野田町4-5-45ﾙｰﾄﾜﾝ京橋1F,34.701021,135.529779,06-6881-7774,,https://twitter.com/kazushomaru,https://ja-jp.facebook.com/damasii.maguro,https://tabelog.com/osaka/A2701/A270107/27043877/,1,0
8,4,片町 弥ひろ,,ChIJGxG8YdbgAGARR5xd0g4-HGw,大阪市都島区片町2-6-8 エヴォク1F,34.695685,135.530888,06-6358-8840,,,https://ja-jp.facebook.com/katamachiyahiro/,https://tabelog.com/osaka/A2701/A270107/27091179/,1,0
9,2,愛媛酒場 丸富,,ChIJ0x1Kk7vmAGARV7x5sH_Qgac,大阪市北区天神橋7-5-23渋谷ビル1F,34.712432,135.511845,06-6354-8102,,,,https://tabelog.com/osaka/A2701/A270103/27078052/,1,0
10,2,群醸日和,,ChIJ_0_yPLnmAGARyDtQB8j7sx0,大阪市北区天神橋6-2-15 幸福ビル天六103,34.709828,135.512022,06-6351-2456,,,https://ja-jp.facebook.com/gunjyobiyori/,https://tabelog.com/osaka/A2701/A270103/27096382/,1,0
11,2,ご馳走 ね音,,ChIJ0cbnvbjmAGARIRU3wUhmoXk,大阪市北区天神橋5-3-22 安田ビル 2F,34.707195,135.512058,06-6882-5512,,,https://ja-jp.facebook.com/gochisounene/,https://tabelog.com/osaka/A2701/A270103/27096416/,1,0
12,2,焼とんya たゆたゆ天満店,たゆたゆ天満,ChIJC44nXMfmAGARw38OVz4cOJY,大阪市北区天神橋5-1-15,34.706667,135.512042,06-6354-8108,,,https://ja-jp.facebook.com/tayutayu.tenma/,https://tabelog.com/osaka/A2701/A270103/27090831/,1,0
13,2,立ち呑み あずき色のマーカス,あずき色のマーカス,ChIJW7btRMfmAGARwe4DabgZ5vk,大阪市北区天神橋4-12-11-103,34.706206,135.51185,,,,https://ja-jp.facebook.com/azukiiro.marcus/,https://tabelog.com/osaka/A2701/A270103/27099481/,1,0
14,1,お酒とおばんざい すいか,,ChIJl6xpRJjmAGAR7GUQ60fnPDA,大阪市北区本庄西2-12-3ｴﾑｽﾞ東梅田,34.71406,135.504811,06-6375-1709,,,https://www.facebook.com/suikahama/,https://tabelog.com/osaka/A2701/A270103/27102266/,1,0
